sessionId;kwhTotal;startTime;endTime;chargeTimeHrs;userId
2022698;0.03;17;18;1.292222222;65023200
9150409;4.64;19;21;1.91;65023200
9820762;4.94;13;14;1.765277778;65023200
3992691;0.79;14;17;2.613611111;65023200
8608385;2.68;20;22;1.903888889;65023200
3443841;2.22;15;16;0.729444444;65023200
1918100;5.17;20;21;1.638611111;65023200
9091743;4.99;13;15;1.700555556;65023200
3071699;3.47;16;21;5.408611111;65023200
9319901;6.3;16;21;5.258333333;65023200
1466557;5.46;13;21;8.659722222;65023200
6841106;4.66;13;15;1.871666667;65023200
2866748;1.84;17;18;0.761388889;65023200
9328629;1.26;19;21;2.421944444;65023200
7589250;3.97;14;15;1.247222222;65023200
9666597;2.33;15;16;0.738611111;65023200
7823660;1.1;16;21;5.046666667;65023200
6535290;6.53;13;15;2.330277778;65023200
8836927;1.23;17;21;4.665;65023200
3366363;6.28;13;15;2.253611111;65023200
6962786;6.17;13;22;8.845555556;65023200
4821714;4.84;13;15;2.864444444;65023200
3990185;3.11;17;21;4.438888889;65023200
5654142;3.04;10;15;4.811111111;65023200
6985154;3.05;16;21;4.861666667;65023200
2817368;5;13;15;2.780833333;65023200
9044406;1.25;17;21;4.065277778;65023200
4681905;4.65;13;15;2.813333333;65023200
6153695;3.41;17;18;1.227222222;65023200
6012875;1.03;18;20;2.474166667;65023200
9330222;5.92;16;21;4.397222222;65023200
3795699;4.06;13;14;1.321666667;65023200
9481325;6.13;17;21;3.918055556;65023200
1853161;5.4;13;16;3.180555556;65023200
5446583;6.83;11;14;2.872222222;27283509
4613021;7.2;17;20;2.936388889;27283509
5055800;6.88;16;18;2.235;29165598
6919729;6.65;15;18;2.1575;29165598
5906960;6.8;16;18;2.252777778;29165598
5129400;7.03;12;16;3.877777778;29165598
4842703;3.07;20;22;1.411388889;77373351
7989311;1.07;20;21;0.351666667;77373351
9566229;2.66;13;16;2.429166667;78533433
2977982;6.55;13;16;2.298333333;78533433
9472597;3.6;15;19;3.634166667;78533433
6540059;5.21;13;16;3.629444444;78533433
7421955;1.27;16;17;1.245555556;78533433
4789991;3.49;13;16;3.039444444;78533433
4185441;3.85;13;16;2.763888889;78533433
6133324;4.01;19;21;1.846666667;78533433
9051503;0.93;17;20;2.365277778;78533433
5324573;0.75;14;16;1.611944444;78533433
9101769;2.26;13;17;3.851944444;78533433
4322385;0.7;18;21;3.658611111;78533433
1784534;6.06;12;15;3.189166667;78533433
8053399;2.86;16;20;3.894722222;78533433
2630978;5.94;14;17;2.954166667;78533433
3673354;6.31;13;16;3.472222222;78533433
6048004;4.76;14;16;2.911111111;78533433
8630811;6.47;16;22;6.602777778;78533433
7093670;5.61;15;18;3.413055556;30828105
3730551;9.03;19;22;3.140277778;30828105
7080329;6.95;19;21;2.455277778;30828105
3829635;7.38;19;21;2.483055556;30828105
6139758;6.69;17;19;2.245833333;30828105
2654056;6.96;16;21;4.738333333;30828105
7390629;6.86;18;21;3.580277778;30828105
5669861;7.1;17;21;3.724444444;30828105
3025002;4.66;12;16;3.179722222;30828105
7371202;8.31;17;21;3.830277778;30828105
5767563;6.64;14;16;2.188611111;30828105
4312867;8.18;17;21;3.791944444;30828105
4568756;3.36;13;14;1.1;30828105
9866287;7.8;18;21;2.905833333;30828105
3892724;1.83;13;14;0.645555556;30828105
8362719;5.06;14;21;7.072777778;30828105
9502349;6.95;12;14;2.506388889;30828105
1233865;5.61;16;18;1.878333333;30828105
5756621;4.87;19;21;1.822222222;30828105
9310274;7.06;19;21;2.358611111;30828105
6607225;2.34;15;17;1.533333333;30828105
4253199;4.27;16;18;1.463611111;30828105
3834284;7.08;12;15;2.867777778;30828105
5387517;3.04;17;18;0.970277778;30828105
5528232;1.88;19;20;1.301388889;30828105
5285180;6.57;11;15;3.6975;30828105
9855221;4.88;20;21;1.576944444;30828105
5770371;2.08;17;18;0.726111111;30828105
1471021;4.17;19;21;1.379166667;30828105
3536729;5.67;12;14;2.029722222;30828105
3830144;3.7;11;12;1.219166667;30828105
8007689;3.57;14;15;1.149444444;30828105
2142462;4.4;16;18;1.431111111;30828105
7591864;3.66;14;15;1.1925;30828105
6082608;4.56;14;15;1.511666667;30828105
5151634;3.63;15;16;1.207222222;30828105
5006104;0;15;15;0.014722222;30828105
1644003;0;11;11;0.024722222;30828105
9959617;4.16;15;17;1.439722222;30828105
3783080;2.54;19;20;0.881111111;30828105
2096115;3.49;13;14;1.141666667;30828105
6841561;1.4;14;14;0.481388889;30828105
7049550;2.28;17;19;1.188055556;30828105
4275838;1.4;14;15;0.803888889;30828105
6235741;0.46;19;20;1.213055556;30828105
9577350;2.5;13;14;0.832777778;30828105
4734743;2.32;15;16;0.791111111;30828105
7776052;6.19;13;16;2.345833333;30828105
3990853;6.93;18;21;2.854444444;97867440
4459427;6.76;18;21;2.728055556;97867440
7635898;6.83;18;20;2.680555556;97867440
8969594;6.77;18;21;2.867222222;97867440
7197033;6.54;18;21;2.863055556;97867440
4884677;6.85;17;19;2.180555556;97867440
2147361;7.08;18;21;2.927777778;97867440
3770628;6.57;18;21;2.958055556;97867440
9801335;6.87;12;16;3.407222222;97867440
7641189;6.76;16;21;4.591388889;97867440
1771880;6.73;17;21;3.650555556;97867440
6289147;6.81;12;16;3.285;97867440
3952058;6.26;17;20;3.314166667;97867440
5767031;6.85;12;16;3.2075;97867440
1974663;6.2;12;16;3.704166667;97867440
7943741;6.78;12;17;4.896944444;97867440
4147556;6.92;13;16;3.515555556;97867440
1509895;6.91;18;21;2.901666667;97867440
6432670;6.84;13;16;2.910555556;97867440
7871544;4.51;19;21;1.681944444;97867440
5055422;6.93;12;16;4.260277778;97867440
9982427;6.93;17;21;3.617222222;97867440
