Days;Time;Slow1;Slow2;Fast1;Fast2
21/03/2017;13:45;0,24000000;0,38000000;0,14300000;0,08460000
21/03/2017;14:00;0,28000000;0,25000000;0,14300000;0,10680000
21/03/2017;14:15;0,23000000;0,35000000;0,15780000;0,08540000
21/03/2017;14:30;0,23000000;0,30000000;0,15040000;0,06480000
21/03/2017;14:45;0,13000000;0,20000000;0,12160000;0,04340000
21/03/2017;15:00;0,05000000;0,15000000;0,11500000;0,02960000
21/03/2017;15:15;0,05000000;0,15000000;0,10020000;0,02220000
21/03/2017;15:30;0,10000000;0,20000000;0,10760000;0,02960000
21/03/2017;15:45;0,15000000;0,10000000;0,14220000;0,03680000
21/03/2017;16:00;0,10000000;0,14000000;0,14220000;0,02940000
21/03/2017;16:15;0,05000000;0,14000000;0,12760000;0,03680000
21/03/2017;16:30;0,05000000;0,09000000;0,08400000;0,02220000
21/03/2017;16:45;0,05000000;0,14000000;0,06180000;0,01480000
21/03/2017;17:00;0,10000000;0,18000000;0,06900000;0,01480000
21/03/2017;17:15;0,10000000;0,14000000;0,06900000;0,01480000
21/03/2017;17:30;0,05000000;0,09000000;0,06900000;0,00740000
21/03/2017;17:45;0,00000000;0,04000000;0,04100000;0,00740000
21/03/2017;18:00;0,00000000;0,04000000;0,04180000;0,02220000
21/03/2017;18:15;0,05000000;0,14000000;0,07120000;0,02960000
21/03/2017;18:30;1,11000000;0,39000000;0,33400000;0,38340000
21/03/2017;18:45;1,94000000;0,92000000;0,49260000;0,90320000
21/03/2017;19:00;1,81000000;1,18000000;0,72020000;1,37340000
21/03/2017;19:15;1,25000000;0,79000000;0,64300000;1,32320000
21/03/2017;19:30;0,71000000;0,59000000;0,57880000;1,12520000
21/03/2017;19:45;0,23000000;0,35000000;0,35240000;0,66520000
21/03/2017;20:00;0,25000000;0,38000000;0,33340000;0,48260000
21/03/2017;20:15;0,29000000;0,47000000;0,24660000;0,25900000
21/03/2017;20:30;0,59000000;0,38000000;0,29500000;0,34440000
21/03/2017;20:45;0,40000000;0,19000000;0,23020000;0,26560000
21/03/2017;21:00;0,39000000;0,25000000;0,19320000;0,24420000
21/03/2017;21:15;0,14000000;0,15000000;0,15680000;0,16600000
21/03/2017;21:30;0,20000000;0,10000000;0,10760000;0,11580000
21/03/2017;21:45;0,20000000;0,10000000;0,10100000;0,12980000
21/03/2017;22:00;0,20000000;0,09000000;0,08700000;0,14440000
21/03/2017;22:15;0,15000000;0,04000000;0,03700000;0,13700000
21/03/2017;22:30;0,05000000;0,04000000;0,02960000;0,10820000
21/03/2017;22:45;0,10000000;0,04000000;0,02220000;0,07280000
21/03/2017;23:00;0,05000000;0,00000000;0,00740000;0,05820000
21/03/2017;23:15;0,05000000;0,00000000;0,00740000;0,05820000
21/03/2017;23:30;0,05000000;0,00000000;0,00740000;0,05820000
21/03/2017;23:45;0,05000000;0,00000000;0,00740000;0,05080000
21/03/2017;24:00;0,05000000;0,00000000;0,00000000;0,04340000
22/03/2017;00:15;0,00000000;0,00000000;0,00000000;0,04340000
22/03/2017;00:30;0,04000000;0,15000000;0,00000000;0,03620000
22/03/2017;00:45;0,04000000;0,15000000;0,00000000;0,03620000
22/03/2017;01:00;0,00000000;0,10000000;0,00000000;0,03620000
22/03/2017;01:15;0,05000000;0,15000000;0,01480000;0,03620000
22/03/2017;01:30;0,05000000;0,20000000;0,02960000;0,05100000
22/03/2017;01:45;0,05000000;0,10000000;0,03700000;0,04380000
22/03/2017;02:00;0,14000000;0,15000000;0,04440000;0,07200000
22/03/2017;02:15;0,24000000;0,25000000;0,07320000;0,13620000
22/03/2017;02:30;0,54000000;0,25000000;0,11640000;0,16360000
22/03/2017;02:45;0,58000000;0,20000000;0,11640000;0,15620000
